web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,score,1 gap,0.5 gap,0.25 gap,category_link,category_link-href,,
1709106865,https://us.shein.com/,DAZY Women's Button Front Cardigan With Drop-Shoulder Long Sleeves,https://us.shein.com/DAZY-Women-s-Button-Front-Cardigan-With-Drop-Shoulder-Long-Sleeves-p-27885339-cat-2219.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.75,5 ,5.0 ,4.75 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106876,https://us.shein.com/,DAZY Women's Lantern Sleeve Stand Collar Patchwork Ruffle Hem Dress,https://us.shein.com/DAZY-Women-s-Lantern-Sleeve-Stand-Collar-Patchwork-Ruffle-Hem-Dress-p-28263456-cat-1727.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.45,4 ,4.5 ,4.50 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106886,https://us.shein.com/,SHEIN SXY Pink Knitted Multi-Layer Ruffle Hem Detail Sleeveless Backless Dress,https://us.shein.com/SHEIN-SXY-Pink-Knitted-Multi-Layer-Ruffle-Hem-Detail-Sleeveless-Backless-Dress-p-27476998-cat-1727.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,3.20,3 ,3.5 ,3.25 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106897,https://us.shein.com/,SHEIN SXY Valentine Day Dress Pink Dress Birthday Women Outfits Sexy Dress Long Sleeve Dress Maxi Dress Asymmetric Sexy Mesh See-Through Texture Hollow Backless High Slit Drawstring Dress,https://us.shein.com/SHEIN-SXY-Valentine-Day-Dress-Pink-Dress-Birthday-Women-Outfits-Sexy-Dress-Long-Sleeve-Dress-Maxi-Dress-Asymmetric-Sexy-Mesh-See-Through-Texture-Hollow-Backless-High-Slit-Drawstring-Dress-p-27407450-cat-1727.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,5.00,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106910,https://us.shein.com/,SHEIN PETITE Women's Spider Print Cropped Camisole,https://us.shein.com/SHEIN-PETITE-Women-s-Spider-Print-Cropped-Camisole-p-27175078-cat-1779.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,5.00,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106920,https://us.shein.com/,SHEIN VCAY Women's Off Shoulder Vacation Top,https://us.shein.com/SHEIN-VCAY-Women-s-Off-Shoulder-Vacation-Top-p-27693562-cat-2223.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.92,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,, 
1709106931,https://us.shein.com/,SHEIN ICON Women's Floral Print Strapless Dress,https://us.shein.com/SHEIN-ICON-Women-s-Floral-Print-Strapless-Dress-p-27124052-cat-1727.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.80,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106941,https://us.shein.com/,SHEIN SXY Ladies' Sheer Mesh Hollow Out Dress With Letter Print,https://us.shein.com/SHEIN-SXY-Ladies-Sheer-Mesh-Hollow-Out-Dress-With-Letter-Print-p-27476779-cat-1727.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,5.00,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106952,https://us.shein.com/,DAZY Zipper Up Elastic Hem Crop Puffer Thick Pockets Coat,https://us.shein.com/DAZY-Zipper-Up-Elastic-Hem-Crop-Puffer-Thick-Pockets-Coat-p-2711419-cat-3052.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.88,5 ,5.0 ,5.00 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106960,https://us.shein.com/,SHEIN ICON Asymmetrical Cutout Halter Neck Dress,https://us.shein.com/SHEIN-ICON-Asymmetrical-Cutout-Halter-Neck-Dress-p-28208570-cat-1727.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,3.60,4 ,4.0 ,3.75 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
1709106970,https://us.shein.com/,SHEIN EZwear Women's Cropped T-shirt With Rhinestone,https://us.shein.com/SHEIN-EZwear-Women-s-Cropped-T-shirt-With-Rhinestone-p-26782444-cat-1738.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709106337419&mallCode=1&pageListType=4,,4.41,4 ,4.5 ,4.50 ,,https://us.shein.com/Women-Clothing-c-2030.html?src_module=All&src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycate%60hz%3DhotZone_16%60ps%3D2_9%60jc%3Dreal_2030&src_tab_page_id=page_home1709106337419&ici=CCCSN%3DAll_ON%3DIMAGE_COMPONENT_OI%3D17208741_CN%3DONE_IMAGE_COMPONENT_TI%3D50001_aod%3D0_PS%3D2-9_ABT%3D0,,
